source,target,key,relationship_type,layer,confidence,trial_id,evidence_text,direction,temporal_marker
Francois Farrant du Grand Rombach,Catherine fille Georgeon le Masson,0,CO_WITNESS,co_presence,0.5,w333,Both witnessed in w333,undirected,
Francois Farrant du Grand Rombach,Goury Maigrat le viel du Grand Rombach,0,CO_WITNESS,co_presence,0.5,w333,Both witnessed in w333,undirected,
Francois Farrant du Grand Rombach,Marie femme Jean Joliat de Sainte Croix,0,CO_WITNESS,co_presence,0.5,w333,Both witnessed in w333,undirected,
Francois Farrant du Grand Rombach,Jennon femme Anthoine Gros Pierre du Grand Rombach,0,CO_WITNESS,co_presence,0.5,w333,Both witnessed in w333,undirected,
Margueritte femme Claudon Chastellain,Francoise veuve Demenge Maillard,0,CO_WITNESS,co_presence,0.5,w077,Both witnessed in w077,undirected,
Margueritte femme Claudon Chastellain,Jean Moine,0,CO_WITNESS,co_presence,0.5,w077,Both witnessed in w077,undirected,
Margueritte femme Claudon Chastellain,Jean Aulbry le vieux,0,CO_WITNESS,co_presence,0.5,w077,Both witnessed in w077,undirected,
Margueritte femme Claudon Chastellain,Claude Coinat jeune fils,0,CO_WITNESS,co_presence,0.5,w077,Both witnessed in w077,undirected,
Margueritte femme Claudon Chastellain,Jean Coinat,0,CO_WITNESS,co_presence,0.5,w077,Both witnessed in w077,undirected,
Margueritte femme Claudon Chastellain,Jean Aulbry le jeune,0,CO_WITNESS,co_presence,0.5,w077,Both witnessed in w077,undirected,
Margueritte femme Claudon Chastellain,Aulbry Aulbry,0,CO_WITNESS,co_presence,0.5,w077,Both witnessed in w077,undirected,
Margueritte femme Claudon Chastellain,Laurent Simonin,0,CO_WITNESS,co_presence,0.5,w077,Both witnessed in w077,undirected,
Jean Lienard serviteur du precedent,B 8684 no 10. Witch 197; Claudatte veuve Mengeon Henry and Dieudonnée femme,0,TESTIFIED_AGAINST,accusation,0.95,w197,Witness 20 in trial w197,directed,1600.0
