name,canonical_id,entity_type,gender,outcome,locations,num_trial_appearances,is_super_witness,became_accused
nicolas mongein,E00372,witness,male,,[],1,False,False
jean barbe,E00373,witness,female,,[],1,False,False
thoussainct claudon thoussainct,E00374,witness,male,,[],1,False,False
remy grand,E00375,witness,male,,[],2,False,False
claudon thoussainct,E00376,witness,male,,[],1,False,False
jennon nicolas colin,E00377,witness,female,,['Norbepaire'],2,False,False
catherine claudon thomas,E00378,witness,female,,[],2,False,False
thouvenin bergier,E00379,witness,unknown,,[],1,False,False
jennon feu la gran,E00380,witness,female,,[],1,False,False
zabey remy grand,E00381,witness,female,,[],1,False,False
hannix,E00382,witness,female,,[],3,True,False
