person1,person2,relationship_type,trial_id,evidence_text,confidence
Odille,Jean Hangney,spouse_wife,w002,Odille femme Jean Hangney,1.0
Benoiste,Didier Bruant,spouse_wife,w003,Benoiste femme Didier Bruant,1.0
Magdellaine,Humbert Houbin,spouse_wife,w003,Magdellaine femme Humbert Houbin,1.0
Jennotte,Gerardin Rodeans,spouse_widow,w003,Jennotte veuve Gerardin Rodeans,1.0
Tante Libar,Claude,spouse_widow,w003,Tante Libar veuve Claude le Boeuf,1.0
Alix,Jean Jerome,spouse_wife,w003,Alix femme Jean Jerome,1.0
Zabillon,Nicolas Remy,spouse_wife,w003,Zabillon femme Nicolas Remy,1.0
Enguel,Aubert Demenge,spouse_wife,w003,Enguel femme Aubert Demenge,1.0
Margueritte,Simon Thieriet,spouse_wife,w003,Margueritte femme Simon Thieriet,1.0
Jehenne,Jean Sernay,spouse_wife,w003,Jehenne femme Jean Sernay,1.0
Mongeatte,Fran,spouse_wife,w003,Mongeatte femme François Tanaire,1.0
Zabel,Dieudonné Cardillon,spouse_wife,w003,Zabel femme Dieudonné Cardillon,1.0
Claudon,Nicolas Gerardin,spouse_wife,w003,Claudon femme Nicolas Gerardin,1.0
Jennon,Thomas Gerardin,spouse_wife,w003,Jennon femme Thomas Gerardin,1.0
Claudon,Jean Munisier,spouse_widow,w003,Claudon veuve Jean Munisier,1.0
Aynel,Jean Abriat,spouse_widow,w003,Aynel veuve Jean Abriat,1.0
Betrix,Jean Didier,spouse_wife,w003,Betrix femme Jean Didier,1.0
Claudatte George,Nicolas Marchal,spouse_wife,w003,Claudatte George femme Nicolas Marchal,1.0
